Position,Institution,Short name,Count,Share
3715,Macalester College,Macalester,5,0.84
3733,Moravian University,Moravian,1,0.83
3750,Roger Williams University,RWU,6,0.82
3753,Juniata College,Juniata,3,0.82
3803,Cleveland State University,Cleveland State,3,0.8
3809,University of Missouri-St. Louis,UMSL,9,0.8
3876,ICAP at Columbia University,ICAP,2,0.75
3906,Bucknell University,Bucknell,8,0.74
3940,"California State Polytechnic University, Humboldt",Cal Poly Humboldt,5,0.72
3957,Tennessee State University,Tennessee State,9,0.71
3969,Salus University,Salus,1,0.71
3970,Union College,Union,8,0.71
4034,Valparaiso University,Valparaiso,20,0.68
4052,Indiana State University,Indiana State,6,0.67
4061,Montana Tech of the University of Montana,Montana Tech,4,0.67
4110,Denison University,Denison,5,0.65
4120,University of New Orleans,UNO,5,0.65
4137,Davidson College,Davidson,3,0.64
4144,St. Mary's University,St-3,1,0.64
4158,University of West Florida,UWF,9,0.63
4162,University of North Florida,UNF,5,0.63
4202,Roosevelt University,Roosevelt,6,0.62
4213,Duquesne University,Duquesne,6,0.61
4215,Hamline University,Hamline,3,0.61
4218,Sarah Lawrence College,Sarah,3,0.61
4230,The University of Scranton,University Scranton,3,0.6
4282,Seattle University,Seattle,3,0.59
4285,Bates College,Bates,4,0.59
4314,"California State University, San Marcos",CSUSM,5,0.58
4329,Utah Valley University,UVU,4,0.57
4330,Trinity College,Trinity-2,4,0.57
4333,Grand Valley State University,GVSU,6,0.57
4358,High Point University,High,3,0.57
4373,Andrews University,Andrews,3,0.56
4401,University of California Agriculture and Natural Resources,UCANR,2,0.55
4401,Allegheny College,Allegheny,2,0.55
4402,Smith College,Smith,7,0.55
4403,Southern Connecticut State University,SCSU,6,0.55
4436,Kenyon College,Kenyon,6,0.54
4444,University of Health Sciences and Pharmacy in St. Louis,UHSP,8,0.54
4458,Albany State University,Albany State,2,0.53
4460,Fisk University,Fisk,147,0.53
4463,Providence College,Providence,6,0.53
4493,Weber State University,Weber State,7,0.52
4494,Randolph-Macon College,Randolph,3,0.52
4515,Manhattan University,Manhattan,2,0.52
4515,Saint Mary's College Notre Dame,Saint,3,0.52
4554,Carleton College,Carleton,4,0.5
4571,Lawrence Technological University,LTU,3,0.5
4571,Ithaca College,Ithaca,2,0.5
4571,Framingham State University,Framingham State,1,0.5
4571,State University of New York at Cortland,SUNY Cortland,1,0.5
4571,Saint Vincent College,SVC,1,0.5
4571,Texas A&M University System,Texas,1,0.5
4571,Rider University,Rider,1,0.5
4571,Southern California University of Health Sciences,SCU,1,0.5
4572,University of Arkansas at Little Rock,UALR,3,0.5
4577,Rosalind Franklin University of Medicine and Science,RFUMS,6,0.5
4626,State University of New York at Oneonta,SUNY Oneonta,3,0.48
4635,University of Wisconsin Oshkosh,UW Oshkosh,3,0.48
4639,University of North Texas at Dallas,UNT Dallas,3,0.48
4639,State University of New York at New Paltz,SUNY New Paltz,3,0.48
4641,University of Dayton,University Dayton,5,0.48
4652,University of Texas Health Science Center at Tyler,UTHSCT,3,0.47
4652,American College of Medical Toxicology,ACMT,1,0.47
4675,The University of Texas at Tyler,University Texas,5,0.47
4694,Meharry Medical College,Meharry,7,0.46
4713,Suffolk University,Suffolk,2,0.46
4729,Wayne State College,WSC,3,0.45
4745,East Tennessee State University,ETSU,5,0.45
4754,Stockton University,Stockton,1,0.44
4783,Kentucky State University,KSU-2,1,0.44
4802,Fairfield University,Fairfield,7,0.43
4829,Bard College,Bard,3,0.42
4844,Minerva University,Minerva,2,0.42
4844,Lake Superior State University,Lake,2,0.42
4847,Worcester State University,Worcester State,6,0.42
4871,State University of New York at Brockport,SUNY Brockport,14,0.41
4875,University of Alaska Anchorage,UAA,8,0.41
4902,University of Portland,University Portland,2,0.4
4913,State University of New York College of Optometry,SUNY College of Optometry,2,0.4
4928,"California State Polytechnic University, Pomona",California State,6,0.39
4931,Drury University,Drury,2,0.39
4954,"California State University, Fresno",Fresno State,38,0.39
4968,University of Texas Rio Grande Valley,UTRGV,13,0.38
4977,American College of Radiology,ACR,14,0.38
4988,Delaware State University,DSU,2,0.38
5008,Central Connecticut State University,CCSU,2,0.38
5012,Florida Gulf Coast University,FGCU,6,0.37
5015,"California State University, East Bay",CSUEB,20,0.37
5049,Columbia University Mailman School of Public Health,Columbia,4,0.37
5083,"Minnesota State University, Mankato",Minnesota State,4,0.36
