University Name,"City, State",Rank,Tuition and Fees,Undergrad enrollment
Texas Tech University,"Lubbock, TX",198,"$24,152(out-of-state) / $11,852(in-state)","32,580"
University of North Carolina--Greensboro,"Greensboro, NC",198,"$24,014(out-of-state) / $7,662(in-state)","14,416"
University of North Carolina--Wilmington,"Wilmington, NC",198,"$25,420(out-of-state) / $7,266(in-state)","15,254"
University of St. Thomas (TX),"Houston, TX",198,"$35,754.00","3,395"
Valparaiso University,"Valparaiso, IN",198,"$50,390.00","2,123"
Mississippi State University,"Mississippi State, MS",208,"$28,736(out-of-state) / $10,604(in-state)","18,567"
Robert Morris University,"Moon Township, PA",208,"$37,150.00","4,316"
San Francisco State University,"San Francisco, CA",208,N/A(out-of-state) / N/A(in-state),"19,638"
University of North Texas,"Denton, TX",208,"$23,963(out-of-state) / $11,663(in-state)","34,458"
Xavier University,"Cincinnati, OH",208,"$52,710.00","4,239"
Ball State University,"Muncie, IN",213,"$29,630(out-of-state) / $11,082(in-state)","15,189"
Belmont University,"Nashville, TN",213,"$43,750.00","7,167"
Chatham University,"Pittsburgh, PA",213,"$45,986.00","1,555"
The New School,"New York, NY",213,N/A,N/A
Russell Sage College,"Troy, NY",213,"$39,812.00","1,255"
University of La Verne,"La Verne, CA",213,"$49,550.00","3,050"
University of Massachusetts--Boston,"Boston, MA",213,"$38,281(out-of-state) / $16,064(in-state)","12,138"
University of Texas--Rio Grande Valley,"Edinburg, TX",213,N/A(out-of-state) / N/A(in-state),"28,674"
University of Texas--San Antonio,"San Antonio, TX",213,"$26,750(out-of-state) / $10,600(in-state)","31,127"
Illinois State University,"Normal, IL",222,"$28,210(out-of-state) / $16,144(in-state)","19,107"
Lipscomb University,"Nashville, TN",222,"$42,596.00","3,006"
Loyola University New Orleans,"New Orleans, LA",222,"$51,664.00","3,032"
New Mexico State University,"Las Cruces, NM",222,"$27,484(out-of-state) / $9,157(in-state)","12,507"
Portland State University,"Portland, OR",222,"$26,463(out-of-state) / $10,263(in-state)","15,414"
St. Catherine University,"Saint Paul, MN",222,"$53,214.00","2,505"
University of North Florida,"Jacksonville, FL",222,"$20,790(out-of-state) / $6,390(in-state)","13,735"
University of Texas--Arlington,"Arlington, TX",222,"$29,432(out-of-state) / $11,950(in-state)","32,545"
University of Wyoming,"Laramie, WY",222,"$24,865(out-of-state) / $8,245(in-state)","8,130"
